location,2019,projection_2020,projection_2021,difference_from_january_2020,difference_from_january_2021,difference_from_october_2020,difference_from_october_2021
World_Output,2.9,-3.0,5.8,-6.3,2.4,-6.4,2.2
Advanced_Economies,1.7,-6.1,4.5,-7.7,2.9,-7.8,2.9
United_States,2.3,-5.9,4.7,-7.9,3,-8.0,3
Euro_Area,1.2,-7.5,4.7,-8.8,3.3,-8.9,3.3
Germany,0.6,-7.0,5.2,-8.1,3.8,-8.2,3.8
France,1.3,-7.2,4.5,-8.5,3.2,-8.5,3.2
Italy,0.3,-9.1,4.8,-9.6,4.1,-9.6,4
Spain,2,-8.0,4.3,-9.6,2.7,-9.8,2.6
Japan,0.7,-5.2,3,-5.9,2.5,-5.7,2.5
United_Kingdom,1.4,-6.5,4,-7.9,2.5,-7.9,2.5
Canada,1.6,-6.2,4.2,-8.0,2.4,-8.0,2.4
Other_Advanced_Economies,1.7,-4.6,4.5,-6.5,2.1,-6.6,2.2
Emerging_Market_and_Developing_Economies,3.7,-1.0,6.6,-5.4,2,-5.6,1.8
Emerging_and_Developing_Asia,5.5,1,8.5,-4.8,2.6,-5.0,2.3
China,6.1,1.2,9.2,-4.8,3.4,-4.6,3.3
India,4.2,1.9,7.4,-3.9,0.9,-5.1,0
ASEAN,4.8,-0.6,7.8,-5.4,2.7,-5.5,2.6
Emerging_and_Developing_Europe,2.1,-5.2,4.2,-7.8,1.7,-7.7,1.7
Russia,1.3,-5.5,3.5,-7.4,1.5,-7.4,1.5
Latin_America_and_the_Caribbean,0.1,-5.2,3.4,-6.8,1.1,-7.0,1
Brazil,1.1,-5.3,2.9,-7.5,0.6,-7.3,0.5
Mexico,-0.1,-6.6,3,-7.6,1.4,-7.9,1.1
Middle_East_and_Central_Asia,1.2,-2.8,4,-5.6,0.8,-5.7,0.8
Saudi_Arabia,0.3,-2.3,2.9,-4.2,0.7,-4.5,0.7
Sub-Saharan_Africa,3.1,-1.6,4.1,-5.1,0.6,-5.2,0.4
Nigeria,2.2,-3.4,2.4,-5.9,-0.1,-5.9,-0.1
South_Africa,0.2,-5.8,4,-6.6,3,-6.9,2.6
