english,spanish,description
COVID Calculator,Calculadora COVID,Main title
A visual tool to explore and analyze the potential impacts of COVID-19,Una herramienta visual para explorar y analizar los posibles impactos de COVID-19,Subtitle
Mortality by Age,Mortalidad por edad,Tab item0
Estimates in Context,Estimaciones en contexto,Tab item1
Risks by Country,Riesgos por pais,Tab item2
Poverty Proj.,Proyecto de pobreza,Tab item3
Deaths Proj.,Proj. De muertes,Tab item4
Hyp. Scenarios,Hyp Escenarios,Tab item5
Ex. Interpretations,Ex. Interpretaciones,Tab item6
Location,Ubicación,Location
Select location,Seleccione ubicación,Select location
The impact of COVID-19 varies between countries.,El impacto de COVID-19 varía entre países.,Location description
Infection rate,Tasa de infección,Infection rate
Proportion of all people contracting the novel coronavirus.,Proporción de todas las personas que contraen el nuevo coronavirus.,Infection rate description
Over 60 infection rate,Más de 60 tasa de infección,Over60infection rate
Below 60 infection rate,Por debajo de 60 tasa de infección,Below60infection rate
Proportion of all people over the age of 60 contracting the novel coronavirus.,Proporción de todas las personas mayores de 60 años que contraen el nuevo coronavirus.,Over60description
The proportion of people below 60 infected is then,La proporción de personas menores de 60 años infectadas es entonces,Proportion is then
Since it depends on both overall infection rate and infection rate of people over 60.,Dado que depende tanto de la tasa de infección general como de la tasa de infección de las personas mayores de 60 años.,Proportion is then description
Based on,Residencia en,Based on
fatality rates and ,tasas de mortalidad y,Based on continued1
"age distribution and other selected input parameters, we can expect: ","distribución de edad y otros parámetros de entrada seleccionados, podemos esperar:",Based on continued2
infected and ,infectado y,Based on continued3
deaths or ,muertes o,Based on continued4
years of life lost in ,años de vida perdidos en,Based on continued5
It is possible that estimated coronavirus deaths will span multiple years.,Es posible que las muertes estimadas de coronavirus abarquen varios años.,Compare with other caption1
Deaths due to other causes are for the year of 2017. Source:,Las muertes por otras causas son para el año 2017. Fuente:,Compare with other caption2
"Confirmed deaths due to COVID-19 until May 27, 2020. Source: ",Muertes confirmadas por COVID-19 hasta el 27 de mayo de 2020. Fuente:,Compare with other caption3
Years of life lost due to other causes are for the year of 2017. Source: ,Los años de vida perdidos por otras causas son para el año 2017. Fuente:,Compare with other caption4
"Years of life lost due to COVID-19 until May 27, 2020. Source: ",Años de vida perdidos debido a COVID-19 hasta el 27 de mayo de 2020. Fuente:,Compare with other caption5
and authors calculations.,y cálculos de autores.,Authors calculations
Years of life lost due to other risk factors are for the year of 2017. Source:,Los años de vida perdidos debido a otros factores de riesgo son para el año 2017. Fuente:,Compare with other caption7
Proportion of People Over 60 Risk by Country,Proporción de personas mayores de 60 años de riesgo por país,Proportion over60by country
Low Income Risk by Country,Riesgo de bajos ingresos por país,Low income risk by country
You can hover over legend items to select. You can zoom in and out of map.         And hover over map to get information about the country it represents.,Puede pasar el cursor sobre los elementos de leyenda para seleccionar. Puede acercar y alejar el mapa. Y pase el mouse sobre el mapa para obtener información sobre el país que representa.,Map caption
"Projected increases by country due to coronavirus impact on the world economy         in the number of people living in extreme poverty,         that is an income below the international poverty line of $1.90 per day.","Los aumentos proyectados por país debido al impacto del coronavirus en la economía mundial en el número de personas que viven en la pobreza extrema, es decir, un ingreso por debajo de la línea internacional de pobreza de $ 1.90 por día.",Projected povery
Sources: ,Fuentes:,Sources
Projected poverty increases by region due to coronavirus impact on world economy.,La pobreza proyectada aumenta por región debido al impacto del coronavirus en la economía mundial.,Projected povery by region
Projections of total deaths from COVID-19. Click on the legend to select or deselect a country.,Proyecciones del total de muertes por COVID-19. Haga clic en la leyenda para seleccionar o anular la selección de un país.,Projections caption
Source:,Fuente:,Source
Reset,Reiniciar,Reset
Expected Number of Infected by Age,Número esperado de infectados por edad,Infected title
Expected Number of Deaths by Age,Número esperado de muertes por edad,Deaths title
Age,Años,Age
Infected,Infectado,Infected
Deaths,Fallecidos,Deaths
