date,country,totdea_mean,population
2020-03-04,United States,0.008761259135655685,331002651
2020-03-05,United States,0.009969708671608192,331002651
2020-03-06,United States,0.011782382975536954,331002651
2020-03-07,United States,0.012084495359525082,331002651
2020-03-08,United States,0.014199282047441971,331002651
2020-03-09,United States,0.01540773158339448,331002651
2020-03-10,United States,0.016918293503335114,331002651
2020-03-11,United States,0.01842885542327575,331002651
2020-03-12,United States,0.020241529727204513,331002651
2020-03-13,United States,0.021449979263157018,331002651
2020-03-14,United States,0.025075327871014547,331002651
2020-03-15,United States,0.029909126014824577,331002651
2020-03-16,United States,0.038368272766492136,331002651
2020-03-17,United States,0.04712953190214782,331002651
2020-03-18,United States,0.05649501580577975,331002651
2020-03-19,United States,0.08096611890881805,331002651
2020-03-20,United States,0.10211398578798693,331002651
2020-03-21,United States,0.12718931365900146,331002651
2020-03-22,United States,0.16163012543364796,331002651
2020-03-23,United States,0.19939417343216384,331002651
2020-03-24,United States,0.26072298738175365,331002651
2020-03-25,United States,0.3431996682105123,331002651
2020-03-26,United States,0.43504183294290294,331002651
2020-03-27,United States,0.5631374837538687,331002651
2020-03-28,United States,0.7308098568672793,331002651
2020-03-29,United States,0.8691773287338413,331002651
2020-03-30,United States,1.0564870068064802,331002651
2020-03-31,United States,1.3703817737701443,331002651
2020-04-01,United States,1.6927356874854758,331002651
2020-04-02,United States,2.058593784495098,331002651
2020-04-03,United States,2.511762360477288,331002651
2020-04-04,United States,2.9912147138664458,331002651
2020-04-05,United States,3.3845650378189873,331002651
2020-04-06,United States,3.7395470890050366,331002651
2020-04-07,United States,4.428363324497966,331002651
2020-04-08,United States,5.0893852206639885,331002651
2020-04-09,United States,5.7259360137269715,331002651
2020-04-10,United States,6.365810043013825,331002651
2020-04-11,United States,6.999641824620915,331002651
2020-04-12,United States,7.531963845207995,331002651
2020-04-13,United States,8.061566854339182,331002651
2020-04-14,United States,8.881499864482958,331002651
2020-04-15,United States,9.669711074307981,331002651
2020-04-16,United States,10.354297736425078,331002651
