date,country,totdea_mean
2020-03-04,United States,95.814
2020-03-05,United States,99.814
2020-03-06,United States,103.814
2020-03-07,United States,107.814
2020-03-08,United States,112.814
2020-03-09,United States,116.814
2020-03-10,United States,119.814
2020-03-11,United States,123.814
2020-03-12,United States,127.815
2020-03-13,United States,131.815
2020-03-14,United States,138.815
2020-03-15,United States,150.815
2020-03-16,United States,168.815
2020-03-17,United States,192.815
2020-03-18,United States,228.81400000000002
2020-03-19,United States,277.813
2020-03-20,United States,343.81
2020-03-21,United States,431.809
2020-03-22,United States,537.805
2020-03-23,United States,677.8
2020-03-24,United States,859.794
2020-03-25,United States,1098.7839999999999
2020-03-26,United States,1407.766
2020-03-27,United States,1792.746
2020-03-28,United States,2260.725
2020-03-29,United States,2829.6940000000004
2020-03-30,United States,3521.663
2020-03-31,United States,4368.628
2020-04-01,United States,5393.581
2020-04-02,United States,6592.536
2020-04-03,United States,7930.477
2020-04-04,United States,9365.418
2020-04-05,United States,10888.355
2020-04-06,United States,12535.298
2020-04-07,United States,14350.242
2020-04-08,United States,16344.166000000001
2020-04-09,United States,18430.099
2020-04-10,United States,20532.022
2020-04-11,United States,22598.939
2020-04-12,United States,24657.847
2020-04-13,United States,26771.765
2020-04-14,United States,28987.677000000003
2020-04-15,United States,31284.58
2020-04-16,United States,33581.477
2020-04-17,United States,35802.372
2020-04-18,United States,37933.277
2020-04-19,United States,40019.187999999995
2020-04-20,United States,42139.09
2020-04-21,United States,44327.988
2020-04-22,United States,46573.871
2020-04-23,United States,48779.757000000005
2020-04-24,United States,50843.677
2020-04-25,United States,52740.602
2020-04-26,United States,54552.535
2020-04-27,United States,56414.462
2020-04-28,United States,58404.365
2020-04-29,United States,60474.25
2020-04-30,United States,62497.145
2020-05-01,United States,64356.037000000004
2020-05-02,United States,66058.938
2020-05-03,United States,67694.83
2020-05-04,United States,69404.7
2020-05-05,United States,71249.557
2020-05-06,United States,73178.378
2020-05-07,United States,75059.189
2020-05-08,United States,76786.996
2020-05-09,United States,78362.81599999999
2020-05-10,United States,79859.046
2020-05-11,United States,81367.52
2020-05-12,United States,82937.461
2020-05-13,United States,84596.961
2020-05-14,United States,86300.207
2020-05-15,United States,87992.53199999999
2020-05-16,United States,89645.602
2020-05-17,United States,91237.771
2020-05-18,United States,92722.915
2020-05-19,United States,94170.257
2020-05-20,United States,95583.74900000001
2020-05-21,United States,96970.224
2020-05-22,United States,98334.489
2020-05-23,United States,99680.394
2020-05-24,United States,101012.23300000001
2020-05-25,United States,102327.715
2020-05-26,United States,103619.694
2020-05-27,United States,104889.15400000001
2020-05-28,United States,106134.484
2020-05-29,United States,107361.25
2020-05-30,United States,108568.543
2020-05-31,United States,109758.516
2020-06-01,United States,110926.401
2020-06-02,United States,112065.115
2020-06-03,United States,113183.93400000001
2020-06-04,United States,114275.974
2020-06-05,United States,115345.76199999999
2020-06-06,United States,116393.79800000001
2020-06-07,United States,117416.286
2020-06-08,United States,118415.25099999999
2020-06-09,United States,119384.19
2020-06-10,United States,120310.19699999999
2020-06-11,United States,121198.966
2020-06-12,United States,122061.089
2020-06-13,United States,122886.25099999999
2020-06-14,United States,123687.405
2020-06-15,United States,124475.722
2020-06-16,United States,125231.615
2020-06-17,United States,125956.73300000001
2020-06-18,United States,126664.742
2020-06-19,United States,127355.07
2020-06-20,United States,128020.079
2020-06-21,United States,128658.12
2020-06-22,United States,129276.015
2020-06-23,United States,129874.1
2020-06-24,United States,130457.521
2020-06-25,United States,131025.66900000001
2020-06-26,United States,131567.926
2020-06-27,United States,132106.42
2020-06-28,United States,132617.84699999998
2020-06-29,United States,133108.301
2020-06-30,United States,133585.215
2020-07-01,United States,134063.887
2020-07-02,United States,134506.43
2020-07-03,United States,134951.27
2020-07-04,United States,135367.958
2020-07-05,United States,135772.13
2020-07-06,United States,136164.67
2020-07-07,United States,136551.74599999998
2020-07-08,United States,136919.904
2020-07-09,United States,137275.72
2020-07-10,United States,137622.112
2020-07-11,United States,137962.1
2020-07-12,United States,138286.428
2020-07-13,United States,138602.634
2020-07-14,United States,138904.40300000002
2020-07-15,United States,139192.631
2020-07-16,United States,139467.138
2020-07-17,United States,139736.25199999998
2020-07-18,United States,140005.139
2020-07-19,United States,140279.7
2020-07-20,United States,140530.99
2020-07-21,United States,140768.753
2020-07-22,United States,140991.521
2020-07-23,United States,141214.095
2020-07-24,United States,141425.65099999998
2020-07-25,United States,141635.169
2020-07-26,United States,141829.531
2020-07-27,United States,142020.68
2020-07-28,United States,142214.941
2020-07-29,United States,142407.107
2020-07-30,United States,142582.163
2020-07-31,United States,142753.939
2020-03-04,Brazil,531.71
2020-03-05,Brazil,531.71
2020-03-06,Brazil,531.71
2020-03-07,Brazil,531.71
2020-03-08,Brazil,531.71
2020-03-09,Brazil,531.71
2020-03-10,Brazil,531.71
2020-03-11,Brazil,531.71
2020-03-12,Brazil,531.71
2020-03-13,Brazil,531.71
2020-03-14,Brazil,531.71
2020-03-15,Brazil,531.71
2020-03-16,Brazil,531.71
2020-03-17,Brazil,531.71
2020-03-18,Brazil,532.711
2020-03-19,Brazil,534.7130000000001
2020-03-20,Brazil,537.716
2020-03-21,Brazil,543.721
2020-03-22,Brazil,550.727
2020-03-23,Brazil,559.735
2020-03-24,Brazil,569.744
2020-03-25,Brazil,580.754
2020-03-26,Brazil,594.765
2020-03-27,Brazil,610.7769999999999
2020-03-28,Brazil,628.7909999999999
2020-03-29,Brazil,650.807
2020-03-30,Brazil,676.825
2020-03-31,Brazil,706.845
2020-04-01,Brazil,742.8689999999999
2020-04-02,Brazil,783.895
2020-04-03,Brazil,830.924
2020-04-04,Brazil,884.956
2020-04-05,Brazil,946.9910000000001
2020-04-06,Brazil,1017.0319999999999
2020-04-07,Brazil,1096.076
2020-04-08,Brazil,1183.122
2020-04-09,Brazil,1277.1689999999999
2020-04-10,Brazil,1376.2160000000001
2020-04-11,Brazil,1481.263
2020-04-12,Brazil,1592.31
2020-04-13,Brazil,1712.361
2020-04-14,Brazil,1845.415
2020-04-15,Brazil,1990.474
2020-04-16,Brazil,2144.535
2020-04-17,Brazil,2303.597
2020-04-18,Brazil,2464.657
2020-04-19,Brazil,2627.719
2020-04-20,Brazil,2794.7859999999996
2020-04-21,Brazil,2973.861
2020-04-22,Brazil,3171.949
2020-04-23,Brazil,3396.053
2020-04-24,Brazil,3643.17
2020-04-25,Brazil,3913.298
2020-04-26,Brazil,4202.436
2020-04-27,Brazil,4507.577
2020-04-28,Brazil,4826.72
2020-04-29,Brazil,5154.863
2020-04-30,Brazil,5487.9980000000005
2020-05-01,Brazil,5823.124
2020-05-02,Brazil,6164.244000000001
2020-05-03,Brazil,6516.361999999999
2020-05-04,Brazil,6892.483
2020-05-05,Brazil,7302.613
2020-05-06,Brazil,7750.759
2020-05-07,Brazil,8239.92
2020-05-08,Brazil,8771.096
2020-05-09,Brazil,9342.279
2020-05-10,Brazil,9953.474
2020-05-11,Brazil,10601.684
2020-05-12,Brazil,11290.663999999999
2020-05-13,Brazil,11999.84
2020-05-14,Brazil,12726.258
2020-05-15,Brazil,13466.493
2020-05-16,Brazil,14216.553999999998
2020-05-17,Brazil,14972.421
2020-05-18,Brazil,15729.653
2020-05-19,Brazil,16484.032
2020-05-20,Brazil,17244.65
2020-05-21,Brazil,18020.335
2020-05-22,Brazil,18806.92
2020-05-23,Brazil,19606.958
2020-05-24,Brazil,20426.393
2020-05-25,Brazil,21262.174
2020-05-26,Brazil,22109.853
2020-05-27,Brazil,22968.234
2020-05-28,Brazil,23834.366
2020-05-29,Brazil,24707.229
2020-05-30,Brazil,25590.271
2020-05-31,Brazil,26485.465
2020-06-01,Brazil,27391.625
2020-06-02,Brazil,28306.165
2020-06-03,Brazil,29226.252
2020-06-04,Brazil,30151.607999999997
2020-06-05,Brazil,31083.052000000003
2020-06-06,Brazil,32021.429
2020-06-07,Brazil,32966.725
2020-06-08,Brazil,33919.167
2020-06-09,Brazil,34878.983
2020-06-10,Brazil,35846.929
2020-06-11,Brazil,36822.931000000004
2020-06-12,Brazil,37806.045
2020-06-13,Brazil,38794.263999999996
2020-06-14,Brazil,39785.385
2020-06-15,Brazil,40778.482
2020-06-16,Brazil,41775.212999999996
2020-06-17,Brazil,42777.253
2020-06-18,Brazil,43785.731
